IK;Nachfolge IK;Gültig ab;Gültig bis;Name1;Name2;Strasse;Land;PLZ;Ort-BG;Vorwahl;Tel-Nr;Fax-Nr;IK-UNIDAV;E-mail UNI-DAV;"KV-Connect UNI-DAV"
120592507;;03.03.2010;;Verbindungsstelle DK-FIN-IS-NL-N-S-L-PL-SK-CZ-GUS-GB-IRL-IL-EST-LV-LT-SLO;;Düsseldorfer Str. 193;D;47053;Duisburg;0203;29522176;29522130;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120592530;;24.10.2007;;Verbindungsstelle Belgien;;Hunscheidtstr. 18;D;44789;Bochum;06221;510861201;510841499;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120592541;;26.02.2009;;Verbindungsstelle Malta, Zypern (griech.Teil), Kanada (Québec);;Alte Heerstr. 111;D;53757;Sankt Augustin;02241;2311147;02241 2311298 ;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120892383;;05.03.2010;;Verbindungsstelle Kroatien;;M 5, 7;D;68161;Mannheim;0621;1830;1835499;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120892394;;05.03.2010;;Verbindungsstelle Montenegro;;M 5, 7;D;68161;Mannheim;0621;1830;1835499;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120892407;;05.03.2010;;Verbindungsstelle Bosnien-Herzegowina;;M 5, 7;D;68161;Mannheim;0621;1830;1835499;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120892418;;05.03.2010;;Verbindungsstelle Serbien;;M 5, 7;D;68161;Mannheim;0621;1830;1835499;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120892429;;05.03.2010;;Verbindungsstelle Mazedonien;;M 5, 7;D;68161;Mannheim;0621;1830;1835499;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120892430;;05.03.2010;;Verbindungsstelle Slowenien;;M 5, 7;D;68161;Mannheim;0621;1830;1835499;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120892441;;15.12.2011;;Verbindungsstelle Italien;;Kurfürsten-Anlage 62;D;69115;Heidelberg;06221;510861100;510841099;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120892485;;01.01.2013;;Verbindungsstelle FR/ES/PT/CH/BR ;;Dynamostr. 7 - 11 ;D;68165;Mannheim ;0621;1830;1835499;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120991496;;15.11.2007;;Verbindungsstelle Österreich;;Am Knie 6;D;81241;München;089;889701;8897650;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120992328;;07.11.2007;;Verbindungsstelle Liechtenstein;;Am Knie 6;D;81241;München;089;889701;8897600;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120992339;;07.11.2007;;Verbindungsstelle Rumänien;;Am Knie 6;D;81241;München;089;889701;8897600;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120992340;;07.11.2007;;Verbindungsstelle Bulgarien;;Am Knie 6;D;81241;München;089;889701;8897600;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120992351;;07.11.2007;;Verbindungsstelle Ungarn;;Am Knie 6;D;81241;München;089;889701;8897600;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120992362;;15.08.2011;;Verbindungsstelle Griechenland;;Oblatterwallstr. 18;D;86153;Augsburg;0821;31590;31591761;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120992373;;15.08.2011;;Verbindungsstelle Türkei;;Oblatterwallstr. 18;D;86153;Augsburg;0821;31590;31591761;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120992384;;15.08.2011;;Verbindungsstelle Tunesien;;Oblatterwallstr. 18;D;86153;Augsburg;0821;31590;31591761;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
120992395;;15.08.2011;;Verbindungsstelle Marokko;;Oblatterwallstr. 18;D;86153;Augsburg;0821;31590;31591761;120591481;HVBG@telemed.de;dale-uv.dguv@kv-safenet.de 
999999999;;01.01.2013;;Dummy-IK Heilfürsorge Bundespolizei;;;;;;;;;;kein elektronischer Versand
